Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3327264967,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1400699994,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,113939,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,16426137,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,310,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,841,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7061197,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,36936,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3810,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,316878,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,537196,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,24573402,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,116874,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,24425371,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3314269,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4381799,,,0
H2,2002,2002,2002,0,0,2,Export,404,Kenya,KEN,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,981761,,,0
H2,2002,2002,2002,0,0,1,Import,404,Kenya,KEN,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,112929,,,0
