"cname","year","ht_region","hf_govint","icrg_qog"
"Sudan (-2011)",2005,4,"",0.27777779
"Sudan (-2011)",2006,4,"",0.27777779
"Sudan (-2011)",2007,4,"",0.27777779
"Sudan (-2011)",2008,4,"",0.27777779
"Sudan (-2011)",2009,4,"",0.27777779
"Sudan (-2011)",2010,4,"",0.27777779
"Eswatini (former Swaziland)",1999,4,"30",NA
"Eswatini (former Swaziland)",2000,4,"30",NA
"Eswatini (former Swaziland)",2001,4,"30",NA
"Eswatini (former Swaziland)",2002,4,"30",NA
"Eswatini (former Swaziland)",2003,4,"30",NA
"Eswatini (former Swaziland)",2004,4,"30",NA
"Eswatini (former Swaziland)",2005,4,"30",NA
"Eswatini (former Swaziland)",2006,4,"30",NA
"Eswatini (former Swaziland)",2007,4,"27",NA
"Eswatini (former Swaziland)",2008,4,"25",NA
"Eswatini (former Swaziland)",2009,4,"33",NA
"Eswatini (former Swaziland)",2010,4,"36",NA
"Syria",1999,3,"10",0.58333331
"Syria",2000,3,"10",0.51851851
"Syria",2001,3,"10",0.47222221
"Syria",2002,3,"10",0.47222221
"Syria",2003,3,"10",0.47222221
"Syria",2004,3,"10",0.47222221
"Syria",2005,3,"34",0.47222221
"Syria",2006,3,"34",0.47222221
"Syria",2007,3,"34",0.47222221
"Syria",2008,3,"29",0.5
"Syria",2009,3,"24",0.5138889
"Syria",2010,3,"21",0.5138889
"Togo",1999,4,"10",0.27777779
"Togo",2000,4,"10",0.27777779
"Togo",2001,4,"10",0.27777779
"Togo",2002,4,"10",0.27314815
"Togo",2003,4,"10",0.25
"Togo",2004,4,"10",0.25
"Togo",2005,4,"10",0.25
"Togo",2006,4,"10",0.25
"Togo",2007,4,"30",0.25
"Togo",2008,4,"24",0.25
"Togo",2009,4,"23",0.25
"Togo",2010,4,"27",0.27083334
"United Arab Emirates",1999,3,"90",0.58333337
"United Arab Emirates",2000,3,"90",0.58333337
"United Arab Emirates",2001,3,"90",0.58333337
"United Arab Emirates",2002,3,"90",0.58333337
"United Arab Emirates",2003,3,"90",0.58333337
"United Arab Emirates",2004,3,"70",0.58333337
"United Arab Emirates",2005,3,"52",0.58333337
"United Arab Emirates",2006,3,"61",0.58333337
"United Arab Emirates",2007,3,"62",0.58333337
"United Arab Emirates",2008,3,"62",0.5925926
"United Arab Emirates",2009,3,"57",0.6111111
"United Arab Emirates",2010,3,"59",0.6574074
"Tunisia",1999,3,"50",0.6111111
"Tunisia",2000,3,"50",0.6111111
"Tunisia",2001,3,"50",0.60648149
"Tunisia",2002,3,"52",0.55555558
"Tunisia",2003,3,"53",0.55555558
"Tunisia",2004,3,"48",0.55555558
"Tunisia",2005,3,"49",0.55555558
"Tunisia",2006,3,"50",0.55555558
"Tunisia",2007,3,"49",0.55555558
"Tunisia",2008,3,"46",0.55555558
"Tunisia",2009,3,"42",0.55555558
"Tunisia",2010,3,"44",0.60185182
"Turkey",1999,3,"32",0.46296299
"Turkey",2000,3,"34",0.52777779
"Turkey",2001,3,"36",0.5462963
"Turkey",2002,3,"38",0.5
"Turkey",2003,3,"36",0.5300926
"Turkey",2004,3,"32",0.55555558
"Turkey",2005,3,"31",0.55555558
"Turkey",2006,3,"32",0.55555558
"Turkey",2007,3,"35",0.55555558
"Turkey",2008,3,"38",0.55555558
"Turkey",2009,3,"41",0.55555558
"Turkey",2010,3,"46",0.51851851
"Uganda",1999,4,"27",0.5
"Uganda",2000,4,"26",0.5
"Uganda",2001,4,"22",0.5
"Uganda",2002,4,"23",0.5
"Uganda",2003,4,"19",0.5
"Uganda",2004,4,"21",0.5
"Uganda",2005,4,"22",0.5
"Uganda",2006,4,"26",0.5
"Uganda",2007,4,"25",0.4861111
"Uganda",2008,4,"27",0.47222221
"Uganda",2009,4,"28",0.47222221
"Uganda",2010,4,"26",0.47222221
"Egypt",1999,3,"28",0.5
"Egypt",2000,3,"29",0.5
"Egypt",2001,3,"33",0.49768519
"Egypt",2002,3,"31",0.47222224
"Egypt",2003,3,"36",0.47222224
"Egypt",2004,3,"34",0.47222224
"Egypt",2005,3,"33",0.47222224
"Egypt",2006,3,"32",0.4861111
"Egypt",2007,3,"34",0.49768519
"Egypt",2008,3,"33",0.47222221
"Egypt",2009,3,"29",0.47222221
"Egypt",2010,3,"28",0.47222221
"Tanzania",1999,4,"30",0.47222221
"Tanzania",2000,4,"19",0.47222221
"Tanzania",2001,4,"19",0.47222221
"Tanzania",2002,4,"25",0.47222221
"Tanzania",2003,4,"22",0.47222221
"Tanzania",2004,4,"27",0.47222221
"Tanzania",2005,4,"25",0.47222221
"Tanzania",2006,4,"28",0.48842591
"Tanzania",2007,4,"29",0.5462963
"Tanzania",2008,4,"29",0.53703701
"Tanzania",2009,4,"32",0.52777779
"Tanzania",2010,4,"30",0.50694442
"Burkina Faso",1999,4,"10",0.41666669
"Burkina Faso",2000,4,"10",0.41666669
"Burkina Faso",2001,4,"10",0.41666669
"Burkina Faso",2002,4,"30",0.39351851
"Burkina Faso",2003,4,"30",0.3888889
"Burkina Faso",2004,4,"30",0.3888889
"Burkina Faso",2005,4,"30",0.3888889
"Burkina Faso",2006,4,"30",0.3888889
"Burkina Faso",2007,4,"34",0.3888889
"Burkina Faso",2008,4,"32",0.3888889
"Burkina Faso",2009,4,"29",0.3888889
"Burkina Faso",2010,4,"35",0.3888889
"Yemen, North",1999,3,"",NA
"Yemen, North",2000,3,"",NA
"Yemen, North",2001,3,"",NA
"Yemen, North",2002,3,"",NA
"Yemen, North",2003,3,"",NA
"Yemen, North",2004,3,"",NA
"Yemen, North",2005,3,"",NA
"Yemen, North",2006,3,"",NA
"Yemen, North",2007,3,"",NA
"Yemen, North",2008,3,"",NA
"Yemen, North",2009,3,"",NA
"Yemen, North",2010,3,"",NA
"Yemen",1999,3,"10",0.3611111
"Yemen",2000,3,"10",0.3611111
"Yemen",2001,3,"10",0.32407409
"Yemen",2002,3,"10",0.30555555
"Yemen",2003,3,"10",0.30555555
"Yemen",2004,3,"10",0.30555555
"Yemen",2005,3,"26",0.30555555
"Yemen",2006,3,"24",0.30555555
"Yemen",2007,3,"27",0.30555555
"Yemen",2008,3,"26",0.30555555
"Yemen",2009,3,"25",0.30555555
"Yemen",2010,3,"23",0.30555555
"Zambia",1999,4,"50",0.47222224
"Zambia",2000,4,"35",0.4537037
"Zambia",2001,4,"35",0.41666669
"Zambia",2002,4,"34",0.41666669
"Zambia",2003,4,"26",0.41666669
"Zambia",2004,4,"26",0.43981484
"Zambia",2005,4,"25",0.47222224
"Zambia",2006,4,"26",0.47222224
"Zambia",2007,4,"26",0.49074075
"Zambia",2008,4,"26",0.48148149
"Zambia",2009,4,"26",0.47222224
"Zambia",2010,4,"28",0.47222224
"Cyprus (-1974)",1999,3,"",NA
"Cyprus (-1974)",2000,3,"",NA
"Cyprus (-1974)",2001,3,"",NA
"Cyprus (-1974)",2002,3,"",NA
"Cyprus (-1974)",2003,3,"",NA
"Cyprus (-1974)",2004,3,"",NA
"Cyprus (-1974)",2005,3,"",NA
"Cyprus (-1974)",2006,3,"",NA
"Cyprus (-1974)",2007,3,"",NA
"Cyprus (-1974)",2008,3,"",NA
"Cyprus (-1974)",2009,3,"",NA
"Cyprus (-1974)",2010,3,"",NA
