,pais,country,regiao,anos,inicio_projeto,anos_contagem,regiao_proj_noano,regiao_proj_acumulados,instituicoes_internacionais_proj_noano,instituicoes_internacionais_proj_acumulados,distancia_2palop,paises_2palop,semelhanca_quali_institucional_icrg,semelhanca_quali_institucional_govint,instituicoes_com_palop
133,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2001,0,2.0,0.0,0.0,0.0,0.0,1626.7319838546903,Angola;Sao Tome and Principe,0,0,2
134,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2002,0,3.0,2.0,2.0,7.0,7.0,1626.7319838546903,Angola;Sao Tome and Principe,0,0,2
135,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2003,0,4.0,3.0,5.0,11.0,18.0,1626.7319838546903,Angola;Sao Tome and Principe,0,0,2
136,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2004,0,5.0,3.0,8.0,14.0,32.0,1626.7319838546903,Angola;Sao Tome and Principe,0,0,2
137,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2005,0,6.0,12.0,20.0,47.0,79.0,1626.7319838546903,Angola;Sao Tome and Principe,0,0,2
138,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2006,0,7.0,10.0,30.0,63.0,142.0,1626.7319838546903,Angola;Sao Tome and Principe,0,0,2
139,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2007,1,8.0,27.0,57.0,116.0,258.0,1626.7319838546903,Angola;Sao Tome and Principe,0,0,2
140,República do Congo,Congo,África Central,1999,0,0.0,0.0,0.0,0.0,0.0,1620.5490368875514,Angola;Sao Tome and Principe,1,1,4
141,República do Congo,Congo,África Central,2000,0,1.0,0.0,0.0,0.0,0.0,1620.5490368875514,Angola;Sao Tome and Principe,0,1,4
142,República do Congo,Congo,África Central,2001,0,2.0,0.0,0.0,0.0,0.0,1620.5490368875514,Angola;Sao Tome and Principe,0,1,4
143,República do Congo,Congo,África Central,2002,0,3.0,2.0,2.0,9.0,9.0,1620.5490368875514,Angola;Sao Tome and Principe,1,1,4
144,República do Congo,Congo,África Central,2003,0,4.0,3.0,5.0,14.0,23.0,1620.5490368875514,Angola;Sao Tome and Principe,1,1,4
145,República do Congo,Congo,África Central,2004,0,5.0,3.0,8.0,18.0,41.0,1620.5490368875514,Angola;Sao Tome and Principe,1,1,4
146,República do Congo,Congo,África Central,2005,0,6.0,12.0,20.0,58.0,98.0,1620.5490368875514,Angola;Sao Tome and Principe,1,1,4
147,República do Congo,Congo,África Central,2006,0,7.0,10.0,30.0,80.0,178.0,1620.5490368875514,Angola;Sao Tome and Principe,1,1,4
148,República do Congo,Congo,África Central,2007,1,8.0,27.0,57.0,141.0,320.0,1620.5490368875514,Angola;Sao Tome and Principe,0,1,4
149,Camarões,Cameroon,África Central,1999,0,0.0,0.0,0.0,0.0,0.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,0,3
150,Camarões,Cameroon,África Central,2000,0,1.0,0.0,0.0,0.0,0.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
151,Camarões,Cameroon,África Central,2001,0,2.0,0.0,0.0,0.0,0.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
152,Camarões,Cameroon,África Central,2002,0,3.0,2.0,2.0,7.0,7.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
153,Camarões,Cameroon,África Central,2003,0,4.0,3.0,5.0,11.0,18.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
154,Camarões,Cameroon,África Central,2004,0,5.0,3.0,8.0,15.0,33.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
155,Camarões,Cameroon,África Central,2005,0,6.0,12.0,20.0,45.0,77.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
156,Camarões,Cameroon,África Central,2006,0,7.0,10.0,30.0,60.0,137.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
157,Camarões,Cameroon,África Central,2007,1,8.0,27.0,57.0,113.0,251.0,971.2563217720331,Equatorial Guinea;Sao Tome and Principe,1,1,3
158,Egito,Egypt,África do Norte,1999,0,0.0,0.0,0.0,0.0,0.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
159,Egito,Egypt,África do Norte,2000,0,1.0,0.0,0.0,0.0,0.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
160,Egito,Egypt,África do Norte,2001,0,2.0,0.0,0.0,0.0,0.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
161,Egito,Egypt,África do Norte,2002,0,3.0,0.0,0.0,6.0,6.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
162,Egito,Egypt,África do Norte,2003,0,4.0,0.0,0.0,10.0,16.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
163,Egito,Egypt,África do Norte,2004,0,5.0,0.0,0.0,14.0,30.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
164,Egito,Egypt,África do Norte,2005,0,6.0,0.0,0.0,42.0,72.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
165,Egito,Egypt,África do Norte,2006,0,7.0,1.0,1.0,70.0,142.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,0,0,2
166,Egito,Egypt,África do Norte,2007,1,8.0,9.0,10.0,115.0,257.0,7952.781189484588,Equatorial Guinea;Sao Tome and Principe,1,0,2
167,Etiópia,Ethiopia,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
168,Etiópia,Ethiopia,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
169,Etiópia,Ethiopia,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
170,Etiópia,Ethiopia,África Oriental,2002,0,3.0,1.0,1.0,5.0,5.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
171,Etiópia,Ethiopia,África Oriental,2003,0,4.0,1.0,2.0,8.0,13.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
172,Etiópia,Ethiopia,África Oriental,2004,0,5.0,2.0,4.0,11.0,24.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
173,Etiópia,Ethiopia,África Oriental,2005,0,6.0,6.0,10.0,35.0,59.0,6829.924825736633,Equatorial Guinea;Angola,0,0,1
174,Etiópia,Ethiopia,África Oriental,2006,0,7.0,12.0,22.0,56.0,115.0,6829.924825736633,Equatorial Guinea;Angola,0,1,1
175,Etiópia,Ethiopia,África Oriental,2007,0,8.0,15.0,37.0,91.0,206.0,6829.924825736633,Equatorial Guinea;Angola,1,1,1
176,Etiópia,Ethiopia,África Oriental,2008,1,9.0,28.0,65.0,118.0,324.0,6829.924825736633,Equatorial Guinea;Angola,1,1,1
177,Gabão,Gabon,África Central,1999,0,0.0,0.0,0.0,0.0,0.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
178,Gabão,Gabon,África Central,2000,0,1.0,0.0,0.0,0.0,0.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
179,Gabão,Gabon,África Central,2001,0,2.0,0.0,0.0,0.0,0.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
180,Gabão,Gabon,África Central,2002,0,3.0,2.0,2.0,7.0,7.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
181,Gabão,Gabon,África Central,2003,0,4.0,3.0,5.0,11.0,18.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,0,0,3
182,Gabão,Gabon,África Central,2004,1,5.0,3.0,8.0,15.0,33.0,679.7806902261405,Sao Tome and Principe;Equatorial Guinea,1,0,3
183,Gâmbia,Gambia,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
184,Gâmbia,Gambia,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
185,Gâmbia,Gambia,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
186,Gâmbia,Gambia,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
187,Gâmbia,Gambia,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
188,Gâmbia,Gambia,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,1,3
189,Gâmbia,Gambia,África Ocidental,2005,0,6.0,20.0,35.0,54.0,96.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,0,3
190,Gâmbia,Gambia,África Ocidental,2006,1,7.0,26.0,61.0,89.0,185.0,964.2472797161203,Guinea-Bissau;Cape Verde,0,0,3
191,Guiné,Guinea,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
192,Guiné,Guinea,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
193,Guiné,Guinea,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
194,Guiné,Guinea,África Ocidental,2002,0,3.0,3.0,3.0,7.0,7.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
195,Guiné,Guinea,África Ocidental,2003,0,4.0,5.0,8.0,12.0,19.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
196,Guiné,Guinea,África Ocidental,2004,0,5.0,7.0,15.0,17.0,36.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
197,Guiné,Guinea,África Ocidental,2005,0,6.0,20.0,35.0,47.0,83.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
198,Guiné,Guinea,África Ocidental,2006,0,7.0,26.0,61.0,72.0,155.0,1296.1479435704946,Guinea-Bissau;Cape Verde,0,0,2
199,Guiné,Guinea,África Ocidental,2007,0,8.0,39.0,100.0,111.0,266.0,1296.1479435704946,Guinea-Bissau;Cape Verde,1,0,2
